opmode,density
1,0.32326283987915405
11,0.10574018126888217
12,0.028197381671701913
13,0.019133937562940583
14,0.015609264853977844
15,0.009566968781470292
16,0.026183282980866064
21,0.081067472306143
22,0.06696878147029205
23,0.10322255790533737
24,0.05891238670694864
25,0.028700906344410877
27,0.03675730110775428
28,0.01661631419939577
29,0.012084592145015106
30,0.06797583081570997
